"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-03-24",820,238,,,1179,3938,5131,324667,59613,,,62379,10756,,56,434506,71715
"2020-03-23",582,101,,,919,2812,3952,265054,46534,,,51623,11432,,56,362791,58248
"2020-03-22",481,146,,,1007,2173,3033,218520,35612,,,40191,9170,,56,304543,49731
"2020-03-21",335,62,,,1873,1492,2026,182908,39897,,,31021,6808,,56,254812,49472
"2020-03-20",273,70,,,25,1042,153,143011,29855,,,24213,6121,,56,205340,43118
"2020-03-19",203,48,,,34,617,128,113156,23208,,,18092,4706,,56,162222,32892
"2020-03-18",155,31,,,18,416,94,89948,21885,,,13386,3037,,56,129330,30120
"2020-03-17",124,24,,,33,325,76,68063,14912,,,10349,2564,,56,99210,22088
"2020-03-16",100,21,,,6,,43,53151,17879,,,7785,1785,,56,77122,22416
"2020-03-15",79,15,,,10,,37,35272,6651,,,6000,1263,,51,54706,9767
"2020-03-14",64,8,,,4,,27,28621,4147,,,4737,921,,51,44939,7235
"2020-03-13",56,5,,,6,,23,24474,8280,,,3816,1055,,51,37704,11120
"2020-03-12",51,8,,,5,,17,16194,4821,,,2761,686,,51,26584,5921
"2020-03-11",43,6,,,3,,12,11373,3435,,,2075,502,,51,20663,4221
"2020-03-10",37,2,,,0,,9,7938,2301,,,1573,407,,51,16442,2772
"2020-03-09",35,4,,,3,,9,5637,1524,,,1166,294,,51,13670,1909
"2020-03-08",31,4,,,0,,6,4113,716,,,872,200,,51,11761,1010
"2020-03-07",27,1,,,0,,6,3397,684,,,672,167,,51,10751,932
"2020-03-06",26,6,,,1,,6,2713,721,,,505,119,,38,9819,896
"2020-03-05",20,4,,,1,,5,1992,556,,,386,102,,29,8923,677
"2020-03-04",16,2,,,4,,4,1436,990,,,284,140,,23,8246,1083
"2020-03-03",14,3,,,0,,,446,203,,,144,50,,11,7163,291
"2020-03-02",11,3,,,0,,,243,158,,,94,44,,9,6872,212
"2020-03-01",8,3,,,0,,,85,61,,,50,32,,9,6660,108
"2020-02-29",5,1,,,0,,,24,24,,,18,18,,7,6552,62
"2020-02-28",4,2,,,0,,,0,0,,,0,0,,7,6490,3
"2020-02-27",2,0,,,0,,,0,0,,,0,0,,7,6487,6446
"2020-02-26",2,2,,,0,,,0,0,,,0,0,,5,41,0
"2020-02-25",0,0,,,0,,,0,0,,,0,0,,5,41,1
"2020-02-24",0,0,,,0,,,0,0,,,0,0,,5,40,2
"2020-02-23",0,0,,,0,,,0,0,,,0,0,,5,38,0
"2020-02-22",0,0,,,0,,,0,0,,,0,0,,5,38,1
"2020-02-21",0,0,,,0,,,0,0,,,0,0,,5,37,1
"2020-02-20",0,0,,,0,,,0,0,,,0,0,,5,36,1
"2020-02-19",0,0,,,0,,,0,0,,,0,0,,5,35,6
"2020-02-18",0,0,,,0,,,0,0,,,0,0,,5,29,0
"2020-02-17",0,0,,,0,,,0,0,,,0,0,,5,29,1
"2020-02-16",0,0,,,0,,,0,0,,,0,0,,5,28,2
"2020-02-15",0,0,,,0,,,0,0,,,0,0,,5,26,4
"2020-02-14",0,0,,,0,,,0,0,,,0,0,,4,22,0
"2020-02-13",0,0,,,0,,,0,0,,,0,0,,4,22,1
"2020-02-12",0,0,,,0,,,0,0,,,0,0,,4,21,1
"2020-02-11",0,0,,,0,,,0,0,,,0,0,,4,20,1
"2020-02-10",0,0,,,0,,,0,0,,,0,0,,4,19,1
"2020-02-09",,0,,,0,,,0,0,,,0,0,,3,18,0
"2020-02-08",,0,,,0,,,0,0,,,0,0,,3,18,2
"2020-02-07",,0,,,0,,,0,0,,,0,0,,3,16,0
"2020-02-06",,0,,,0,,,0,0,,,0,0,,3,16,1
"2020-02-05",,0,,,0,,,0,0,,,0,0,,3,15,0
"2020-02-04",,0,,,0,,,0,0,,,0,0,,3,15,4
"2020-02-03",,0,,,0,,,0,0,,,0,0,,3,11,3
"2020-02-02",,0,,,0,,,0,0,,,0,0,,3,8,0
"2020-02-01",,0,,,0,,,0,0,,,0,0,,3,8,0
"2020-01-31",,0,,,0,,,0,0,,,0,0,,3,8,3
"2020-01-30",,0,,,0,,,0,0,,,0,0,,3,5,0
"2020-01-29",,0,,,0,,,0,0,,,0,0,,3,5,2
"2020-01-28",,0,,,0,,,0,0,,,0,0,,2,3,0
"2020-01-27",,0,,,0,,,0,0,,,0,0,,2,3,1
"2020-01-26",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-25",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-24",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-23",,0,,,0,,,0,0,,,0,0,,2,2,1
"2020-01-22",,0,,,0,,,0,0,,,0,0,,2,1,0
